S.No.,Question,Difficulty,Answers
2555,What is 99 * 34?,Medium,3366
2556,What is 91 squared?,Medium,8281
2557,What is 42 squared?,Easy,1764
2558,What is 64 * 65?,Hard,4160
2559,What is the square root of 3?,Hard,Not a perfect square
2560,What is 76 * 52?,Medium,3952
2561,What is 66 + 59?,Medium,125
2562,What is 35 * 46?,Medium,1610
2563,What is 40 * 34?,Medium,1360
2564,What is 11 + 11?,Easy,22
2565,What is the square root of 32?,Easy,Not a perfect square
2566,What is 93 - 86?,Hard,7
2567,What is 93 - 13?,Easy,80
2568,What is 11 + 56?,Hard,67
2569,What is 87 - 97?,Easy,-10
2570,What is 42 squared?,Hard,1764
2571,What is the square root of 31?,Medium,Not a perfect square
2572,What is the square root of 29?,Medium,Not a perfect square
2573,What is 22 squared?,Hard,484
2574,What is 3 * 26?,Hard,78
2575,What is the square root of 49?,Hard,7
2576,What is 81 * 25?,Medium,2025
2577,What is the square root of 10?,Medium,Not a perfect square
2578,What is the square root of 64?,Medium,8
2579,What is 97 * 77?,Medium,7469
2580,What is 98 + 39?,Hard,137
2581,What is the square root of 9?,Hard,3
2582,What is 8 - 48?,Medium,-40
2583,What is 45 + 26?,Easy,71
2584,What is the square root of 34?,Medium,Not a perfect square
2585,What is 87 + 35?,Medium,122
2586,What is 62 squared?,Hard,3844
2587,What is 66 * 6?,Easy,396
2588,What is 91 squared?,Easy,8281
2589,What is 93 * 95?,Hard,8835
2590,What is the square root of 69?,Medium,Not a perfect square
2591,What is 77 squared?,Medium,5929
2592,What is 37 + 76?,Hard,113
2593,What is the square root of 89?,Hard,Not a perfect square
2594,What is 49 * 74?,Medium,3626
2595,What is 78 - 45?,Easy,33
2596,What is 8 - 17?,Hard,-9
2597,What is 8 + 25?,Hard,33
2598,What is 74 - 68?,Hard,6
2599,What is 100 squared?,Easy,10000
2600,What is 48 - 16?,Easy,32
2601,What is 98 - 87?,Medium,11
2602,What is 50 - 11?,Hard,39
2603,What is the square root of 60?,Medium,Not a perfect square
2604,What is the square root of 46?,Hard,Not a perfect square
2605,What is 53 + 62?,Easy,115
2606,What is the square root of 63?,Easy,Not a perfect square
2607,What is 76 + 28?,Hard,104
2608,What is 98 - 4?,Easy,94
2609,What is 32 * 6?,Hard,192
2610,What is 10 - 65?,Hard,-55
2611,What is the square root of 47?,Medium,Not a perfect square
2612,What is 18 - 20?,Medium,-2
2613,What is 57 + 60?,Medium,117
2614,What is 91 squared?,Easy,8281
2615,What is 55 * 68?,Medium,3740
2616,What is 96 * 20?,Hard,1920
2617,What is the square root of 87?,Easy,Not a perfect square
2618,What is 66 * 24?,Easy,1584
2619,What is 10 squared?,Easy,100
2620,What is 62 * 25?,Medium,1550
2621,What is 84 squared?,Easy,7056
2622,What is 1 * 79?,Easy,79
2623,What is 83 - 30?,Hard,53
2624,What is the square root of 38?,Easy,Not a perfect square
2625,What is 30 - 12?,Hard,18
2626,What is 3 * 26?,Easy,78
2627,What is 88 + 39?,Hard,127
2628,What is 72 + 29?,Medium,101
2629,What is the square root of 40?,Easy,Not a perfect square
2630,What is 13 squared?,Hard,169
2631,What is 88 + 30?,Hard,118
2632,What is 7 + 53?,Hard,60
2633,What is 99 + 65?,Hard,164
2634,What is 21 + 52?,Medium,73
2635,What is 50 + 64?,Medium,114
2636,What is 72 + 46?,Medium,118
2637,What is the square root of 34?,Hard,Not a perfect square
2638,What is 15 squared?,Easy,225
2639,What is 9 + 72?,Easy,81
2640,What is 27 - 44?,Easy,-17
2641,What is 90 + 51?,Hard,141
2642,What is 62 - 98?,Hard,-36
2643,What is 47 squared?,Hard,2209
2644,What is 99 * 5?,Easy,495
2645,What is 67 squared?,Medium,4489
2646,What is 62 * 50?,Medium,3100
2647,What is the square root of 24?,Easy,Not a perfect square
2648,What is 50 - 57?,Easy,-7
2649,What is the square root of 50?,Hard,Not a perfect square
2650,What is 85 + 9?,Hard,94
2651,What is 90 squared?,Hard,8100
2652,What is 57 squared?,Hard,3249
2653,What is 25 - 64?,Easy,-39
2654,What is 46 + 31?,Easy,77
2655,What is 81 + 47?,Easy,128
2656,What is 11 + 41?,Hard,52
2657,What is 13 squared?,Hard,169
2658,What is 100 * 1?,Hard,100
2659,What is 35 + 25?,Easy,60
2660,What is 9 * 77?,Easy,693
2661,What is 91 - 40?,Easy,51
2662,What is 11 squared?,Hard,121
2663,What is 20 squared?,Medium,400
2664,What is 26 + 53?,Hard,79
2665,What is 69 squared?,Medium,4761
2666,What is the square root of 98?,Easy,Not a perfect square
2667,What is 4 - 15?,Medium,-11
2668,What is 8 - 75?,Medium,-67
2669,What is 59 squared?,Medium,3481
2670,What is the square root of 96?,Hard,Not a perfect square
2671,What is 68 * 68?,Medium,4624
2672,What is 75 * 84?,Easy,6300
2673,What is the square root of 46?,Medium,Not a perfect square
2674,What is 35 squared?,Easy,1225
2675,What is 55 - 61?,Easy,-6
2676,What is 60 - 87?,Hard,-27
2677,What is the square root of 2?,Easy,Not a perfect square
2678,What is 8 squared?,Easy,64
2679,What is 9 squared?,Hard,81
2680,What is 57 * 55?,Easy,3135
2681,What is 83 - 97?,Easy,-14
2682,What is 98 * 19?,Easy,1862
2683,What is 33 squared?,Easy,1089
2684,What is 42 + 7?,Easy,49
2685,What is 87 squared?,Medium,7569
2686,What is the square root of 56?,Easy,Not a perfect square
2687,What is the square root of 44?,Medium,Not a perfect square
2688,What is the square root of 95?,Hard,Not a perfect square
2689,What is 72 + 57?,Easy,129
2690,What is the square root of 74?,Medium,Not a perfect square
2691,What is 79 squared?,Easy,6241
2692,What is 82 + 27?,Easy,109
2693,What is the square root of 1?,Hard,1
2694,What is the square root of 37?,Easy,Not a perfect square
2695,What is 15 + 17?,Hard,32
2696,What is 4 - 73?,Easy,-69
2697,What is the square root of 26?,Hard,Not a perfect square
2698,What is 14 + 32?,Easy,46
2699,What is 93 * 51?,Medium,4743
2700,What is 66 + 1?,Medium,67
2701,What is 68 + 50?,Hard,118
2702,What is 28 squared?,Easy,784
2703,What is the square root of 49?,Easy,7
2704,What is 34 * 15?,Medium,510
2705,What is 82 * 29?,Hard,2378
2706,What is 70 squared?,Hard,4900
2707,What is 93 - 4?,Easy,89
2708,What is 78 squared?,Easy,6084
2709,What is 75 squared?,Easy,5625
2710,What is 49 - 62?,Hard,-13
2711,What is 94 + 20?,Medium,114
2712,What is the square root of 58?,Easy,Not a perfect square
2713,What is 75 + 34?,Easy,109
2714,What is 81 - 99?,Easy,-18
2715,What is the square root of 78?,Medium,Not a perfect square
2716,What is the square root of 5?,Hard,Not a perfect square
2717,What is 56 + 7?,Easy,63
2718,What is the square root of 15?,Medium,Not a perfect square
2719,What is 72 - 90?,Medium,-18
2720,What is 92 * 94?,Easy,8648
2721,What is 90 * 64?,Hard,5760
2722,What is 48 * 23?,Hard,1104
2723,What is 1 squared?,Medium,1
2724,What is 32 * 79?,Easy,2528
2725,What is 20 + 79?,Hard,99
2726,What is 70 * 25?,Hard,1750
2727,What is the square root of 22?,Easy,Not a perfect square
2728,What is 88 * 93?,Easy,8184
2729,What is 12 * 64?,Hard,768
2730,What is 47 + 92?,Hard,139
2731,What is 43 squared?,Hard,1849
2732,What is 44 squared?,Easy,1936
2733,What is 43 squared?,Medium,1849
2734,What is 45 + 45?,Medium,90
2735,What is 39 - 51?,Easy,-12
2736,What is 95 * 75?,Easy,7125
2737,What is 16 * 99?,Hard,1584
2738,What is 42 - 80?,Hard,-38
2739,What is the square root of 98?,Hard,Not a perfect square
2740,What is 69 - 43?,Medium,26
2741,What is 32 squared?,Medium,1024
2742,What is 98 squared?,Hard,9604
2743,What is 36 + 91?,Easy,127
2744,What is the square root of 23?,Hard,Not a perfect square
2745,What is the square root of 48?,Hard,Not a perfect square
2746,What is 50 + 44?,Easy,94
2747,What is 83 * 37?,Hard,3071
2748,What is 18 - 54?,Medium,-36
2749,What is the square root of 13?,Easy,Not a perfect square
2750,What is the square root of 45?,Hard,Not a perfect square
2751,What is 3 - 14?,Easy,-11
2752,What is 7 + 79?,Medium,86
2753,What is 36 - 37?,Medium,-1
2754,What is 64 squared?,Hard,4096
2755,What is the square root of 94?,Hard,Not a perfect square
2756,What is 68 - 58?,Hard,10
2757,What is the square root of 75?,Easy,Not a perfect square
2758,What is 93 + 62?,Hard,155
2759,What is 48 * 2?,Easy,96
2760,What is 77 - 81?,Easy,-4
2761,What is 1 squared?,Easy,1
2762,What is the square root of 13?,Hard,Not a perfect square
2763,What is 29 - 90?,Medium,-61
2764,What is 55 + 20?,Easy,75
2765,What is 9 * 57?,Medium,513
2766,What is 49 + 46?,Easy,95
2767,What is 5 - 35?,Medium,-30
2768,What is 28 - 20?,Medium,8
2769,What is 54 - 76?,Hard,-22
2770,What is 60 squared?,Easy,3600
2771,What is 20 - 34?,Hard,-14
2772,What is 91 - 100?,Easy,-9
2773,What is 15 - 66?,Medium,-51
2774,What is 45 squared?,Easy,2025
2775,What is 40 * 14?,Medium,560
2776,What is 59 - 100?,Medium,-41
2777,What is the square root of 53?,Easy,Not a perfect square
2778,What is 12 squared?,Hard,144
2779,What is 81 * 29?,Easy,2349
2780,What is the square root of 10?,Medium,Not a perfect square
2781,What is 65 - 58?,Hard,7
2782,What is 42 * 67?,Medium,2814
2783,What is 62 - 22?,Hard,40
2784,What is the square root of 6?,Easy,Not a perfect square
2785,What is 47 + 64?,Hard,111
2786,What is the square root of 83?,Medium,Not a perfect square
2787,What is the square root of 7?,Hard,Not a perfect square
2788,What is 31 * 67?,Easy,2077
2789,What is 74 + 62?,Medium,136
2790,What is the square root of 69?,Medium,Not a perfect square
2791,What is 70 - 82?,Medium,-12
2792,What is the square root of 15?,Medium,Not a perfect square
2793,What is 28 - 1?,Medium,27
2794,What is 41 * 77?,Easy,3157
2795,What is the square root of 89?,Hard,Not a perfect square
2796,What is 92 + 99?,Hard,191
2797,What is 44 squared?,Hard,1936
2798,What is 82 - 88?,Hard,-6
2799,What is 86 * 22?,Medium,1892
2800,What is 36 * 52?,Easy,1872
2801,What is the square root of 74?,Easy,Not a perfect square
2802,What is the square root of 33?,Medium,Not a perfect square
2803,What is 21 * 63?,Medium,1323
2804,What is 85 * 98?,Easy,8330
2805,What is 74 * 9?,Hard,666
2806,What is the square root of 35?,Hard,Not a perfect square
2807,What is 95 - 81?,Hard,14
2808,What is 74 - 50?,Medium,24
2809,What is the square root of 12?,Medium,Not a perfect square
2810,What is the square root of 94?,Easy,Not a perfect square
2811,What is 20 squared?,Medium,400
2812,What is 47 * 36?,Hard,1692
2813,What is 65 + 38?,Medium,103
2814,What is 13 + 44?,Medium,57
2815,What is the square root of 97?,Medium,Not a perfect square
2816,What is 90 + 32?,Medium,122
2817,What is 94 - 60?,Hard,34
2818,What is 37 - 3?,Medium,34
2819,What is 30 squared?,Medium,900
2820,What is 11 - 45?,Hard,-34
2821,What is 95 squared?,Hard,9025
2822,What is 45 - 99?,Medium,-54
2823,What is 54 - 93?,Easy,-39
2824,What is 50 squared?,Hard,2500
2825,What is 23 squared?,Medium,529
2826,What is 49 * 58?,Hard,2842
2827,What is the square root of 55?,Hard,Not a perfect square
2828,What is 6 * 30?,Easy,180
2829,What is 69 - 92?,Hard,-23
2830,What is 53 * 43?,Medium,2279
2831,What is 62 squared?,Easy,3844
2832,What is 87 * 31?,Medium,2697
2833,What is 25 - 67?,Hard,-42
2834,What is 72 * 43?,Hard,3096
2835,What is 8 squared?,Easy,64
2836,What is 45 + 81?,Hard,126
2837,What is the square root of 60?,Medium,Not a perfect square
2838,What is the square root of 58?,Easy,Not a perfect square
2839,What is 37 * 4?,Hard,148
2840,What is 87 * 55?,Medium,4785
2841,What is 59 * 98?,Medium,5782
2842,What is the square root of 76?,Easy,Not a perfect square
2843,What is the square root of 75?,Medium,Not a perfect square
2844,What is the square root of 27?,Medium,Not a perfect square
2845,What is 82 - 28?,Medium,54
2846,What is 59 * 95?,Hard,5605
2847,What is 13 squared?,Easy,169
2848,What is 98 - 68?,Hard,30
2849,What is the square root of 46?,Hard,Not a perfect square
2850,What is the square root of 88?,Hard,Not a perfect square
2851,What is 60 + 82?,Hard,142
2852,What is 81 - 61?,Easy,20
2853,What is the square root of 88?,Easy,Not a perfect square
2854,What is 30 squared?,Medium,900
2855,What is 88 - 13?,Easy,75
2856,What is 75 - 63?,Medium,12
2857,What is 85 * 87?,Easy,7395
2858,What is 89 * 95?,Medium,8455
2859,What is 56 * 95?,Easy,5320
2860,What is 7 squared?,Hard,49
2861,What is 74 squared?,Hard,5476
2862,What is 97 + 72?,Medium,169
2863,What is 25 * 34?,Easy,850
2864,What is 88 squared?,Hard,7744
2865,What is 31 squared?,Easy,961
2866,What is 46 * 95?,Easy,4370
2867,What is 55 - 52?,Medium,3
2868,What is the square root of 30?,Hard,Not a perfect square
2869,What is 53 + 39?,Medium,92
2870,What is 85 squared?,Easy,7225
2871,What is 29 + 75?,Medium,104
2872,What is 33 squared?,Easy,1089
2873,What is 3 squared?,Easy,9
2874,What is 46 * 3?,Medium,138
2875,What is 74 squared?,Medium,5476
2876,What is the square root of 75?,Easy,Not a perfect square
2877,What is 51 - 4?,Hard,47
2878,What is 4 squared?,Medium,16
2879,What is 19 squared?,Hard,361
2880,What is the square root of 88?,Hard,Not a perfect square
2881,What is the square root of 20?,Hard,Not a perfect square
2882,What is 97 * 100?,Hard,9700
2883,What is the square root of 4?,Medium,2
2884,What is 13 - 27?,Hard,-14
2885,What is 86 squared?,Medium,7396
2886,What is the square root of 92?,Medium,Not a perfect square
2887,What is 25 - 95?,Hard,-70
2888,What is 35 - 42?,Medium,-7
2889,What is 69 squared?,Easy,4761
2890,What is the square root of 9?,Hard,3
2891,What is 84 * 35?,Easy,2940
2892,What is 60 squared?,Medium,3600
2893,What is 2 squared?,Medium,4
2894,What is 18 squared?,Medium,324
2895,What is 58 * 31?,Easy,1798
2896,What is the square root of 9?,Hard,3
2897,What is 43 + 29?,Hard,72
2898,What is 57 * 48?,Hard,2736
2899,What is 64 * 92?,Hard,5888
2900,What is 15 - 61?,Medium,-46
2901,What is the square root of 71?,Medium,Not a perfect square
2902,What is 21 - 67?,Medium,-46
2903,What is 51 - 90?,Easy,-39
2904,What is 35 - 51?,Easy,-16
2905,What is 56 squared?,Hard,3136
2906,What is 21 + 98?,Hard,119
2907,What is 80 squared?,Easy,6400
2908,What is 91 - 94?,Hard,-3
2909,What is 3 - 76?,Hard,-73
2910,What is the square root of 100?,Hard,10
2911,What is 22 + 25?,Hard,47
2912,What is the square root of 47?,Hard,Not a perfect square
2913,What is 45 squared?,Hard,2025
2914,What is 34 * 44?,Hard,1496
2915,What is 58 - 66?,Hard,-8
2916,What is 80 squared?,Easy,6400
2917,What is the square root of 48?,Medium,Not a perfect square
2918,What is 55 * 2?,Easy,110
2919,What is the square root of 6?,Hard,Not a perfect square
2920,What is 42 + 76?,Hard,118
2921,What is 44 - 32?,Easy,12
2922,What is 44 + 25?,Medium,69
2923,What is 62 * 82?,Easy,5084
2924,What is the square root of 77?,Medium,Not a perfect square
2925,What is 94 * 9?,Hard,846
2926,What is 41 squared?,Hard,1681
2927,What is 11 + 59?,Hard,70
2928,What is the square root of 26?,Easy,Not a perfect square
2929,What is 43 + 3?,Easy,46
2930,What is 22 - 94?,Medium,-72
2931,What is 27 squared?,Easy,729
2932,What is 64 - 83?,Hard,-19
2933,What is 54 squared?,Easy,2916
2934,What is 51 squared?,Medium,2601
2935,What is 53 + 93?,Hard,146
2936,What is 91 - 2?,Easy,89
2937,What is 76 + 71?,Hard,147
2938,What is the square root of 15?,Medium,Not a perfect square
2939,What is 49 - 80?,Easy,-31
2940,What is 82 + 81?,Easy,163
2941,What is 2 - 98?,Medium,-96
2942,What is the square root of 41?,Easy,Not a perfect square
2943,What is the square root of 74?,Medium,Not a perfect square
2944,What is the square root of 93?,Hard,Not a perfect square
2945,What is 88 * 81?,Hard,7128
2946,What is 60 squared?,Hard,3600
2947,What is 50 - 40?,Medium,10
2948,What is 52 + 92?,Medium,144
2949,What is 15 squared?,Easy,225
2950,What is 55 squared?,Easy,3025
2951,What is 38 - 100?,Easy,-62
2952,What is the square root of 17?,Medium,Not a perfect square
2953,What is the square root of 36?,Medium,6
2954,What is 5 - 68?,Easy,-63
2955,What is 85 * 68?,Easy,5780
2956,What is 17 + 7?,Hard,24
2957,What is 13 - 38?,Hard,-25
2958,What is 36 - 71?,Easy,-35
2959,What is 24 + 20?,Medium,44
2960,What is 16 * 73?,Easy,1168
2961,What is 91 - 86?,Easy,5
2962,What is 59 - 66?,Hard,-7
2963,What is 33 * 54?,Medium,1782
2964,What is 36 + 60?,Easy,96
2965,What is 7 - 6?,Hard,1
2966,What is the square root of 26?,Easy,Not a perfect square
2967,What is 45 - 33?,Easy,12
2968,What is 19 * 29?,Easy,551
2969,What is the square root of 30?,Medium,Not a perfect square
2970,What is 26 squared?,Medium,676
2971,What is 82 squared?,Easy,6724
2972,What is 21 + 55?,Easy,76
2973,What is 90 * 30?,Hard,2700
2974,What is 95 - 48?,Medium,47
2975,What is 99 + 87?,Hard,186
2976,What is 71 * 36?,Hard,2556
2977,What is 48 * 6?,Medium,288
2978,What is 32 squared?,Hard,1024
2979,What is 47 - 2?,Easy,45
2980,What is 15 - 35?,Medium,-20
2981,What is 24 + 79?,Easy,103
2982,What is 5 - 54?,Easy,-49
2983,What is the square root of 54?,Easy,Not a perfect square
2984,What is 27 squared?,Medium,729
2985,What is 35 - 44?,Easy,-9
2986,What is 91 + 6?,Easy,97
2987,What is 96 * 6?,Medium,576
2988,What is the square root of 34?,Medium,Not a perfect square
2989,What is 89 * 71?,Hard,6319
2990,What is 19 + 75?,Medium,94
2991,What is 61 + 46?,Easy,107
2992,What is 99 squared?,Hard,9801
2993,What is 50 - 96?,Hard,-46
2994,What is 5 + 76?,Hard,81
2995,What is 18 - 23?,Medium,-5
2996,What is the square root of 1?,Easy,1
2997,What is the square root of 67?,Medium,Not a perfect square
2998,What is 56 + 51?,Medium,107
2999,What is 15 squared?,Hard,225
3000,What is 68 * 67?,Easy,4556
3001,What is 61 * 81?,Easy,4941
3002,What is 92 - 69?,Easy,23
3003,What is 82 + 51?,Medium,133
3004,What is the square root of 25?,Easy,5
3005,What is 48 * 47?,Hard,2256
3006,What is 7 squared?,Hard,49
3007,What is 27 + 41?,Easy,68
3008,What is the square root of 27?,Hard,Not a perfect square
3009,What is 68 - 9?,Easy,59
3010,What is 63 - 3?,Medium,60
3011,What is 69 - 95?,Medium,-26
3012,What is the square root of 26?,Easy,Not a perfect square
3013,What is 87 * 75?,Easy,6525
3014,What is 55 + 25?,Medium,80
3015,What is the square root of 65?,Hard,Not a perfect square
3016,What is 85 * 41?,Hard,3485
3017,What is 32 - 39?,Hard,-7
3018,What is 76 + 34?,Easy,110
3019,What is the square root of 42?,Hard,Not a perfect square
3020,What is 96 squared?,Medium,9216
3021,What is 69 squared?,Easy,4761
3022,What is 78 squared?,Medium,6084
3023,What is 48 * 42?,Hard,2016
3024,What is 99 - 100?,Hard,-1
3025,What is the square root of 10?,Easy,Not a perfect square
3026,What is the square root of 64?,Easy,8
3027,What is 6 - 43?,Hard,-37
3028,What is 90 - 84?,Hard,6
3029,What is the square root of 29?,Easy,Not a perfect square
3030,What is the square root of 95?,Easy,Not a perfect square
3031,What is 30 squared?,Easy,900
3032,What is the square root of 46?,Easy,Not a perfect square
3033,What is 48 + 44?,Medium,92
3034,What is 59 - 83?,Easy,-24
3035,What is the square root of 76?,Easy,Not a perfect square
3036,What is 51 - 100?,Hard,-49
3037,What is 12 squared?,Hard,144
3038,What is the square root of 91?,Hard,Not a perfect square
3039,What is the square root of 53?,Hard,Not a perfect square
3040,What is the square root of 16?,Medium,4
3041,What is 89 - 93?,Medium,-4
3042,What is 81 squared?,Medium,6561
3043,What is 29 squared?,Medium,841
